user_ID,meal,rating,notes
1,Spaghetti Bolognese,2,
1,Chili con Carne,2,
1,Margarita Pizza,1,
1,Toad in the Hole,1,
1,Caesar salad,1,
1,Pesto,2,
1,Cheese Burger,1,
1,Steak and Chips,1,
1,Macaroni Cheese,2,
1,Fish and Chips,1,
1,BBQ Ribs,2,
1,Chicken Tikka Masala,2,
1,Miso Ramen,2,
1,Ratatouille,2,
1,Spaghetti Carbonara,2,
1,Bangers and Mash,1,
1,Chicken Wings,2,
1,Hot Dog,1,
1,Green Leaf Salad,1,
2,Spaghetti Bolognese,1,
2,Chili con Carne,1,
2,Margarita Pizza,2,
2,Toad in the Hole,2,
2,Caesar salad,2,
2,Pesto,1,
2,Cheese Burger,2,
2,Steak and Chips,2,
2,Macaroni Cheese,1,
2,Fish and Chips,2,
2,BBQ Ribs,2,
2,Chicken Tikka Masala,2,
2,Miso Ramen,1,
2,Ratatouille,2,
2,Spaghetti Carbonara,1,
2,Bangers and Mash,2,
2,Chicken Wings,2,
2,Hot Dog,2,
2,Green Leaf Salad,2,
3,Spaghetti Bolognese,2,
3,Chili con Carne,1,
3,Margarita Pizza,2,
3,Toad in the Hole,2,
3,Caesar salad,2,
3,Pesto,2,
3,Cheese Burger,2,
3,Steak and Chips,2,
3,Macaroni Cheese,2,
3,Fish and Chips,2,
3,BBQ Ribs,2,
3,Chicken Tikka Masala,1,
3,Miso Ramen,2,
3,Ratatouille,2,
3,Spaghetti Carbonara,2,
3,Bangers and Mash,2,
3,Chicken Wings,1,
3,Hot Dog,2,
3,Green Leaf Salad,2,
4,Spaghetti Bolognese,1,
4,Chili con Carne,2,
4,Margarita Pizza,2,
4,Toad in the Hole,2,
4,Caesar salad,1,
4,Pesto,1,
4,Cheese Burger,2,
4,Steak and Chips,2,
4,Macaroni Cheese,2,
4,Fish and Chips,2,
4,BBQ Ribs,2,
4,Chicken Tikka Masala,2,
4,Miso Ramen,1,
4,Ratatouille,1,
4,Spaghetti Carbonara,2,
4,Bangers and Mash,2,
4,Chicken Wings,2,
4,Hot Dog,2,
4,Green Leaf Salad,1,
5,Spaghetti Bolognese,1,
5,Chili con Carne,1,
5,Margarita Pizza,2,
5,Toad in the Hole,1,
5,Caesar salad,2,
5,Pesto,2,
5,Cheese Burger,1,
5,Steak and Chips,1,
5,Macaroni Cheese,2,
5,Fish and Chips,1,
5,BBQ Ribs,1,
5,Chicken Tikka Masala,1,
5,Miso Ramen,2,
5,Ratatouille,2,
5,Spaghetti Carbonara,1,
5,Bangers and Mash,1,
5,Chicken Wings,1,
5,Hot Dog,1,
5,Green Leaf Salad,2,
6,Spaghetti Bolognese,2,
6,Chili con Carne,1,
6,Margarita Pizza,2,
6,Toad in the Hole,2,
6,Caesar salad,1,
6,Pesto,1,
6,Cheese Burger,2,
6,Steak and Chips,2,
6,Macaroni Cheese,1,
6,Fish and Chips,2,
6,BBQ Ribs,1,
6,Chicken Tikka Masala,1,
6,Miso Ramen,1,
6,Ratatouille,1,
6,Spaghetti Carbonara,1,
6,Bangers and Mash,2,
6,Chicken Wings,1,
6,Hot Dog,2,
6,Green Leaf Salad,2,
7,Spaghetti Bolognese,2,
7,Chili con Carne,2,
7,Margarita Pizza,1,
7,Toad in the Hole,2,
7,Caesar salad,2,
7,Pesto,2,
7,Cheese Burger,1,
7,Steak and Chips,1,
7,Macaroni Cheese,2,
7,Fish and Chips,1,
7,BBQ Ribs,2,
7,Chicken Tikka Masala,2,
7,Miso Ramen,2,
7,Ratatouille,2,
7,Spaghetti Carbonara,2,
7,Bangers and Mash,1,
7,Chicken Wings,2,
7,Hot Dog,2,
7,Green Leaf Salad,1,
8,Spaghetti Bolognese,2,
8,Chili con Carne,2,
8,Margarita Pizza,2,
8,Toad in the Hole,2,
8,Caesar salad,2,
8,Pesto,2,
8,Cheese Burger,2,
8,Steak and Chips,2,
8,Macaroni Cheese,2,
8,Fish and Chips,2,
8,BBQ Ribs,1,
8,Chicken Tikka Masala,2,
8,Miso Ramen,2,
8,Ratatouille,2,
8,Spaghetti Carbonara,2,
8,Bangers and Mash,2,
8,Chicken Wings,1,
8,Hot Dog,2,
8,Green Leaf Salad,2,
9,Spaghetti Bolognese,1,
9,Chili con Carne,1,
9,Margarita Pizza,2,
9,Toad in the Hole,1,
9,Caesar salad,2,
9,Pesto,1,
9,Cheese Burger,2,
9,Steak and Chips,1,
9,Macaroni Cheese,1,
9,Fish and Chips,1,
9,BBQ Ribs,1,
9,Chicken Tikka Masala,1,
9,Miso Ramen,1,
9,Ratatouille,1,
9,Spaghetti Carbonara,1,
9,Bangers and Mash,1,
9,Chicken Wings,1,
9,Hot Dog,2,
9,Green Leaf Salad,1,
10,Spaghetti Bolognese,1,
10,Chili con Carne,1,
10,Margarita Pizza,1,
10,Toad in the Hole,1,
10,Caesar salad,1,
10,Pesto,1,
10,Cheese Burger,2,
10,Steak and Chips,1,
10,Macaroni Cheese,1,
10,Fish and Chips,1,
10,BBQ Ribs,2,
10,Chicken Tikka Masala,1,
10,Miso Ramen,1,
10,Ratatouille,1,
10,Spaghetti Carbonara,1,
10,Bangers and Mash,1,
10,Chicken Wings,2,
10,Hot Dog,1,
10,Green Leaf Salad,1,
99,Macaroni Cheese,5,
99,Fish and Chips,4,
99,BBQ Ribs,4.5,
99,Chicken Tikka Masala,1,
